                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5552,                0.73116,                0.95458,                0.88553,                0.73618,                0.79515,                0.44256,                 1.6121,                0.68445,                0.99206,             0.00084162,             0.00084162,             0.00084162
                     36,                 1.5336,                0.70497,                 0.9572,                0.90565,                0.74902,                0.81153,                0.48029,                 1.5554,                0.68611,                0.98286,             0.00082925,             0.00082925,             0.00082925
                     37,                 1.5294,                0.70032,                0.94929,                0.87866,                0.73497,                0.79582,                0.40922,                 1.6841,                0.70416,                 1.0166,             0.00081688,             0.00081688,             0.00081688
                     38,                 1.5656,                0.71444,                 0.9667,                0.87121,                0.75882,                0.81229,                0.45151,                 1.5969,                0.70059,                0.99959,              0.0008045,              0.0008045,              0.0008045
                     39,                 1.5051,                0.68869,                0.92676,                0.91552,                0.76017,                0.83377,                 0.4809,                 1.5409,                0.68866,                0.98187,             0.00079213,             0.00079213,             0.00079213
                     40,                 1.5178,                0.70526,                0.94429,                0.90844,                0.75975,                0.83584,                 0.4543,                 1.5719,                0.68227,                0.99032,             0.00077975,             0.00077975,             0.00077975
                     41,                 1.5132,                0.69139,                0.94968,                0.86573,                0.74779,                0.83067,                0.43918,                 1.6081,                0.69586,                0.99203,             0.00076738,             0.00076738,             0.00076738
                     42,                 1.4836,                0.67734,                0.93863,                0.89908,                0.79422,                0.85525,                0.47944,                 1.5604,                0.65525,                 0.9869,               0.000755,               0.000755,               0.000755
                     43,                 1.4935,                0.67594,                0.92585,                0.91498,                0.77509,                0.84361,                0.47155,                 1.5288,                0.65758,                 0.9829,             0.00074263,             0.00074263,             0.00074263
                     44,                 1.4392,                0.66486,                 0.9309,                0.90902,                0.79531,                0.85528,                0.50436,                 1.5139,                0.66802,                0.98127,             0.00073025,             0.00073025,             0.00073025
                     45,                 1.4438,                0.67281,                0.93848,                0.91738,                0.75583,                0.83838,                0.44384,                 1.5404,                0.66293,                0.97905,             0.00071788,             0.00071788,             0.00071788
                     46,                 1.4711,                0.71184,                0.98468,                0.90072,                0.76416,                0.83623,                0.44107,                 1.5358,                 0.6555,                 0.9777,              0.0007055,              0.0007055,              0.0007055
                     47,                 1.4425,                0.66265,                0.93038,                0.89357,                0.79933,                0.85374,                0.48328,                 1.4927,                0.65173,                0.97467,             0.00069313,             0.00069313,             0.00069313
                     48,                 1.4712,                0.66992,                0.92915,                0.90594,                0.77509,                0.84285,                0.47563,                  1.514,                 0.6666,                0.96819,             0.00068075,             0.00068075,             0.00068075
                     49,                 1.3869,                0.63713,                0.92622,                0.89255,                0.76816,                0.82708,                0.45005,                 1.5029,                0.65474,                0.97225,             0.00066838,             0.00066838,             0.00066838
                     50,                 1.4346,                0.64132,                0.92621,                0.90112,                0.78132,                0.84932,                0.48775,                 1.4718,                0.62868,                0.96568,               0.000656,               0.000656,               0.000656
                     51,                 1.4136,                0.65305,                0.91509,                0.94297,                0.75734,                0.84888,                0.48185,                 1.5672,                0.65013,                 0.9777,             0.00064362,             0.00064362,             0.00064362
                     52,                 1.4047,                0.63598,                0.92096,                0.92125,                0.77063,                 0.8587,                0.49335,                 1.4614,                0.63049,                0.96249,             0.00063125,             0.00063125,             0.00063125
                     53,                 1.3719,                0.62093,                 0.9084,                0.90129,                 0.7757,                0.85116,                0.48561,                 1.4943,                0.64206,                0.97437,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.4112,                0.63332,                0.90909,                0.92729,                0.80184,                 0.8658,                0.49303,                 1.5287,                0.62266,                0.97766,              0.0006065,              0.0006065,              0.0006065
                     55,                 1.4178,                0.63191,                 0.9073,                0.88585,                0.80033,                 0.8529,                0.50049,                 1.4445,                0.61865,                0.95531,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.3545,                0.61728,                0.91419,                0.91475,                0.76732,                0.84988,                0.47416,                 1.5385,                 0.6537,                0.97855,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.3643,                 0.6192,                0.90067,                0.91404,                0.80074,                0.86004,                0.49966,                 1.4748,                0.61055,                0.96889,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.3327,                 0.6054,                0.91281,                0.91109,                0.80096,                0.86535,                0.51336,                 1.4677,                0.61334,                0.96481,               0.000557,               0.000557,               0.000557
                     59,                 1.3612,                 0.6096,                0.90143,                0.89652,                0.80946,                0.85946,                0.50004,                  1.505,                0.61503,                 0.9688,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.3504,                0.60591,                0.90338,                0.93099,                0.80936,                 0.8915,                0.51967,                  1.437,                0.60619,                0.96102,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.3578,                0.61169,                 0.9085,                0.90922,                 0.8078,                0.86898,                0.51233,                 1.4807,                0.60951,                  0.965,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.3258,                0.60049,                0.90692,                0.94107,                0.79668,                0.86791,                0.49282,                 1.4975,                0.61022,                0.97455,              0.0005075,              0.0005075,              0.0005075
                     63,                  1.347,                0.60756,                0.90706,                0.93268,                0.80612,                 0.8849,                0.50702,                 1.4502,                0.60786,                0.96535,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.3099,                0.59561,                0.90931,                0.90654,                0.78036,                0.86314,                0.46608,                 1.5362,                0.61159,                0.97835,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.3239,                0.59415,                0.89218,                0.91951,                0.83027,                0.87344,                0.51992,                 1.4213,                0.58587,                0.95791,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.2955,                0.57589,                0.89314,                0.91965,                0.80938,                0.86513,                0.46669,                  1.513,                0.62264,                0.97065,               0.000458,               0.000458,               0.000458
                     67,                 1.3416,                0.60238,                0.89727,                0.92157,                0.81021,                0.87183,                0.49246,                  1.453,                0.59709,                0.96467,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.3266,                 0.5943,                0.89943,                0.93004,                0.80258,                0.86768,                 0.4984,                  1.464,                0.59775,                0.96922,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.3115,                0.58409,                0.88378,                0.91719,                0.82698,                0.88156,                0.52934,                 1.3906,                0.57498,                0.95618,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.2731,                0.56758,                0.88851,                0.90782,                0.79362,                 0.8721,                0.52273,                 1.4707,                0.59137,                0.96469,              0.0004085,              0.0004085,              0.0004085
                     71,                   1.27,                0.56979,                0.88038,                0.91689,                0.82845,                0.87373,                0.52028,                 1.4026,                0.58345,                0.95158,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.2425,                0.57563,                0.89818,                0.93213,                0.81344,                 0.8804,                0.52216,                 1.3931,                0.57742,                0.95166,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.2638,                0.56717,                0.89304,                0.92896,                0.81312,                0.89637,                0.52714,                 1.4014,                0.57514,                0.95388,             0.00037138,             0.00037138,             0.00037138
                     74,                 1.2559,                 0.5615,                0.88849,                0.92449,                0.81292,                0.89011,                 0.5115,                 1.4312,                0.57519,                0.96692,               0.000359,               0.000359,               0.000359
                     75,                 1.2223,                0.55406,                0.88957,                0.93171,                0.81521,                 0.8887,                0.52914,                 1.4074,                0.58445,                0.96263,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.2345,                0.55474,                0.87728,                 0.9274,                0.81845,                0.87225,                 0.5057,                 1.4731,                0.59176,                0.97583,             0.00033425,             0.00033425,             0.00033425
                     77,                 1.2504,                0.56284,                0.88433,                0.94244,                0.81146,                0.88599,                 0.5445,                 1.3545,                0.56045,                 0.9462,             0.00032188,             0.00032188,             0.00032188
                     78,                 1.2038,                 0.5346,                0.88116,                 0.9301,                0.80607,                0.88017,                0.52662,                 1.4105,                0.56273,                 0.9611,              0.0003095,              0.0003095,              0.0003095
                     79,                 1.2554,                0.56365,                0.87868,                0.93214,                0.82813,                0.88632,                0.56257,                 1.3751,                0.56398,                0.95221,             0.00029713,             0.00029713,             0.00029713
                     80,                 1.2787,                0.56686,                0.87364,                0.93507,                0.81393,                 0.8752,                0.53326,                 1.4143,                0.57112,                0.95651,             0.00028475,             0.00028475,             0.00028475
                     81,                  1.188,                 0.5354,                 0.8817,                0.92417,                0.81796,                0.88054,                0.53275,                   1.43,                0.56215,                0.96303,             0.00027237,             0.00027237,             0.00027237
                     82,                 1.1759,                0.53137,                0.86703,                0.91476,                0.81764,                0.87858,                0.54029,                 1.3801,                0.55833,                 0.9454,                0.00026,                0.00026,                0.00026
