                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3859,                0.66048,                0.93098,                0.87146,                0.75563,                0.83769,                0.48097,                 1.5228,                0.68661,                0.93649,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.3702,                0.65304,                0.92391,                0.86216,                0.77658,                0.84369,                 0.4721,                 1.5769,                0.70047,                0.93866,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.3911,                0.65097,                0.92043,                0.85672,                0.76565,                0.84169,                0.48261,                 1.5535,                0.69349,                0.93876,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.3466,                0.63902,                0.91615,                0.89148,                0.76921,                0.84905,                0.49948,                 1.5087,                0.65239,                0.92724,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.3559,                0.64167,                0.91794,                0.88222,                0.76933,                0.85706,                0.50494,                  1.461,                0.65525,                0.92803,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.3512,                0.63556,                0.91511,                0.88985,                0.76111,                0.85115,                0.49523,                 1.4901,                0.67615,                0.93069,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.3493,                0.63428,                0.91227,                0.87333,                0.75189,                0.84127,                0.48931,                 1.5066,                0.65724,                0.93689,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.3381,                0.63066,                0.91678,                0.87509,                0.77029,                0.85469,                0.50841,                 1.4596,                0.64953,                  0.925,               0.000604,               0.000604,               0.000604
                     43,                 1.3412,                0.62655,                0.91607,                0.88885,                0.77838,                0.86341,                0.51029,                 1.4576,                0.63551,                0.92507,              0.0005941,              0.0005941,              0.0005941
                     44,                  1.314,                0.61549,                0.90994,                0.88973,                0.77265,                0.85684,                0.50101,                 1.4606,                0.63643,                 0.9297,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.3262,                0.62218,                0.91668,                0.88217,                0.75974,                0.84676,                0.49158,                 1.5238,                0.65371,                0.92965,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3007,                0.60112,                0.90498,                0.87009,                0.77334,                0.85413,                0.49916,                 1.5291,                0.66717,                0.94151,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3338,                0.62971,                0.92019,                0.89008,                0.77923,                 0.8654,                0.51495,                  1.468,                0.64328,                0.92719,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.2891,                0.59882,                0.90229,                0.89064,                0.77315,                0.86423,                0.51437,                 1.4451,                0.63711,                0.91837,              0.0005446,              0.0005446,              0.0005446
                     49,                  1.286,                0.59946,                0.90665,                0.87042,                 0.7739,                 0.8573,                0.50685,                 1.4958,                0.64686,                0.92474,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.2801,                0.60618,                0.90402,                0.90051,                 0.7814,                0.86563,                0.52193,                 1.4369,                0.62379,                0.91644,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.2821,                0.59435,                0.90094,                0.88574,                0.79354,                0.87102,                0.52872,                 1.4639,                0.62485,                0.92275,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.2557,                0.58254,                0.89911,                0.88855,                0.80055,                 0.8761,                0.52604,                 1.4427,                0.61922,                0.92125,               0.000505,               0.000505,               0.000505
                     53,                 1.2789,                 0.5886,                0.90048,                0.90504,                 0.7833,                0.86734,                0.52785,                 1.4275,                0.61397,                0.91704,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.2597,                0.58373,                0.90039,                0.89649,                0.77189,                0.86784,                0.52838,                 1.4447,                0.61386,                0.92151,              0.0004852,              0.0004852,              0.0004852
                     55,                  1.268,                0.58942,                0.89878,                0.90066,                0.78279,                0.87375,                0.53335,                 1.4319,                0.61414,                0.92176,              0.0004753,              0.0004753,              0.0004753
                     56,                  1.251,                0.57831,                0.89705,                 0.8864,                0.78178,                0.86773,                0.53146,                 1.4138,                0.60798,                 0.9167,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.2426,                0.58071,                0.89014,                0.87456,                0.78968,                0.86286,                0.52797,                 1.4153,                0.61716,                0.92163,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.2371,                0.57007,                 0.8938,                0.90001,                0.76874,                0.86526,                0.53073,                 1.4208,                0.61186,                0.91368,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.2344,                0.56379,                0.89116,                0.89536,                0.77709,                0.86733,                0.52626,                 1.4385,                0.62598,                0.92021,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.2146,                0.55825,                0.88253,                0.90873,                0.79084,                0.87942,                0.54301,                 1.3403,                0.58215,                0.91002,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.2237,                0.56258,                0.88584,                0.90865,                0.79075,                0.88077,                0.54521,                 1.3653,                0.59145,                0.90641,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.2194,                 0.5649,                0.88915,                0.90795,                0.79371,                0.88078,                0.54653,                  1.384,                0.59012,                0.91269,               0.000406,               0.000406,               0.000406
                     63,                 1.1857,                 0.5482,                0.88652,                0.88466,                0.80756,                0.87865,                 0.5414,                 1.4336,                0.59587,                0.92216,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.1948,                0.55119,                0.88675,                0.89777,                0.80295,                 0.8847,                0.54944,                 1.3865,                0.57976,                0.91102,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.2038,                0.55573,                0.88399,                0.89782,                0.79529,                0.88273,                0.54416,                 1.3791,                0.58805,                0.91062,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.2039,                0.55104,                 0.8813,                 0.8787,                0.80727,                0.88116,                0.54228,                  1.391,                0.59127,                0.91096,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.1824,                0.54153,                 0.8853,                0.89917,                0.80842,                0.88786,                 0.5562,                 1.3386,                0.56608,                 0.9115,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.1772,                0.53588,                0.88124,                 0.8999,                0.79266,                0.87748,                0.54411,                  1.372,                0.58963,                0.90356,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.1718,                0.53418,                0.87627,                0.90304,                0.79683,                0.88601,                0.55409,                 1.3531,                0.57314,                0.89921,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.1868,                0.54765,                 0.8789,                0.89155,                 0.8007,                0.88783,                0.55572,                 1.3167,                0.57847,                 0.9024,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.1525,                  0.529,                0.88039,                0.89667,                0.79808,                0.88094,                0.55108,                 1.3355,                0.58297,                0.91004,              0.0003169,              0.0003169,              0.0003169
                     72,                 1.1618,                0.53509,                0.88143,                0.91171,                0.78985,                0.88534,                0.54806,                 1.3477,                0.56976,                0.90228,               0.000307,               0.000307,               0.000307
                     73,                 1.1577,                0.52964,                0.87564,                0.91248,                 0.8048,                0.88646,                0.55756,                 1.3272,                0.57391,                 0.8999,              0.0002971,              0.0002971,              0.0002971
                     74,                  1.162,                0.52694,                0.87599,                0.89747,                0.80443,                0.88989,                0.55839,                 1.3534,                0.57021,                0.90048,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.1586,                0.52127,                 0.8706,                0.87286,                0.80795,                0.88179,                 0.5534,                 1.3534,                0.57213,                0.89704,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.1363,                0.52174,                0.87361,                0.86952,                0.81675,                0.88422,                0.55851,                 1.3195,                0.57085,                 0.8966,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.1389,                0.51963,                0.87193,                0.89403,                0.82412,                0.89514,                0.56788,                 1.3072,                0.56316,                  0.892,              0.0002575,              0.0002575,              0.0002575
                     78,                  1.135,                0.51446,                0.87316,                0.89155,                0.81259,                0.88961,                0.56902,                  1.303,                0.55121,                0.89268,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.1224,                0.51097,                0.87074,                0.88925,                0.81062,                0.89105,                0.55647,                 1.3507,                0.56178,                0.90334,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.1302,                 0.5149,                0.87189,                0.89368,                0.82006,                0.89397,                0.56564,                 1.3211,                0.55001,                0.90382,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.1166,                0.51023,                0.86905,                0.89348,                0.80388,                0.88945,                0.56091,                 1.3502,                0.56116,                0.90383,              0.0002179,              0.0002179,              0.0002179
                     82,                  1.123,                0.50996,                0.87043,                0.89762,                0.81092,                0.89126,                0.56701,                 1.3374,                0.55532,                0.90009,               0.000208,               0.000208,               0.000208
                     83,                 1.1234,                0.51317,                0.87047,                0.90015,                0.81812,                0.89495,                0.57393,                 1.3078,                0.54602,                0.89648,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.0995,                0.50336,                0.86528,                0.90358,                0.80553,                0.88868,                 0.5696,                 1.2998,                0.54753,                0.89596,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.0925,                0.49863,                0.86727,                0.92236,                0.80005,                0.89401,                0.57236,                 1.2896,                0.53998,                0.89611,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.0984,                0.50072,                0.86758,                0.91013,                0.79557,                0.88854,                0.56984,                  1.291,                0.53798,                0.89542,              0.0001684,              0.0001684,              0.0001684
                     87,                  1.111,                0.50038,                0.86034,                0.90758,                0.80464,                0.89206,                0.57254,                 1.2889,                0.54008,                 0.8953,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.0752,                0.48786,                 0.8676,                0.90202,                0.81347,                 0.8948,                0.57981,                 1.2963,                 0.5386,                0.89639,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.0754,                0.48812,                0.85913,                0.90184,                0.81407,                0.89429,                0.57885,                 1.2723,                0.53688,                0.89314,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.0672,                0.48646,                0.86026,                0.90171,                0.81391,                0.89592,                0.57869,                  1.267,                0.53419,                0.89099,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.0684,                0.47566,                0.85827,                0.90293,                0.82068,                0.89533,                0.57917,                 1.2771,                0.54495,                0.88928,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.0686,                0.47447,                0.85504,                0.91707,                0.79896,                0.89166,                0.57643,                 1.2733,                0.55253,                0.89051,               0.000109,               0.000109,               0.000109
                     93,                 1.0537,                0.46927,                0.85301,                0.91183,                0.81085,                0.89608,                0.57961,                 1.2855,                0.54513,                0.88988,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.0539,                0.46766,                0.85407,                0.92859,                0.79532,                 0.8947,                0.57787,                 1.2822,                0.53903,                0.88999,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.0444,                0.46076,                0.85251,                0.90195,                 0.8196,                0.89846,                 0.5819,                 1.2714,                0.53702,                0.89117,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.0337,                0.45865,                0.85228,                0.91145,                0.81586,                0.89739,                0.58171,                 1.2825,                0.53908,                0.89299,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.0451,                0.46334,                0.85239,                0.90991,                0.80497,                0.89702,                0.58158,                 1.2642,                0.53568,                 0.8917,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.0425,                0.45988,                0.85249,                0.89463,                0.81878,                0.89634,                0.58211,                 1.2711,                  0.536,                0.89122,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                  1.029,                0.45544,                0.84917,                0.90211,                0.81358,                0.89589,                0.58481,                 1.2638,                 0.5328,                0.89075,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.0255,                0.45497,                0.84968,                0.91212,                0.80777,                0.89712,                 0.5858,                  1.258,                0.53084,                0.88734,               2.98e-05,               2.98e-05,               2.98e-05
