                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.8738,                0.70961,                0.87917,                0.71692,                0.70757,                0.73891,                0.27361,                 1.8649,                0.77381,                0.90645,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.8294,                0.69105,                0.87376,                0.79343,                0.79584,                0.82757,                0.36351,                 1.7317,                0.73928,                0.89591,               0.001307,               0.001307,               0.001307
                     38,                 1.8765,                0.69392,                0.87447,                0.74262,                0.74459,                0.77046,                0.30227,                 1.9668,                0.80678,                0.93131,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9129,                0.72017,                0.88593,                0.79264,                0.79271,                0.82283,                0.33587,                 1.9385,                0.80389,                0.92755,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.8716,                0.70898,                0.87717,                0.74672,                 0.7631,                 0.7808,                0.30727,                 1.8881,                0.74335,                0.91312,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8074,                0.67477,                0.86789,                0.76844,                0.80696,                0.81987,                 0.3441,                 1.7637,                  0.727,                0.89377,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8289,                0.68605,                0.87048,                0.71706,                0.72267,                0.72972,                0.26882,                 1.8796,                0.80397,                0.91147,               0.001208,               0.001208,               0.001208
                     43,                 1.7872,                 0.6757,                0.87257,                0.78663,                0.79841,                 0.8227,                0.33267,                 1.8048,                0.70845,                0.89808,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8243,                0.68724,                0.87536,                 0.6503,                0.62164,                0.63893,                0.22363,                 2.0106,                0.80336,                0.92022,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.7918,                0.67895,                0.87623,                0.72641,                0.73548,                0.74745,                0.29161,                 2.0143,                0.78519,                0.93881,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8209,                0.68223,                0.86799,                0.74201,                0.71495,                0.75671,                0.29737,                 1.9107,                0.76548,                 0.9125,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.8248,                0.69243,                0.87358,                0.77531,                0.75359,                0.79537,                0.32063,                 1.8554,                 0.7417,                0.90308,               0.001109,               0.001109,               0.001109
                     48,                 1.8025,                0.68642,                0.87311,                0.75896,                0.76566,                0.79776,                0.32274,                 1.7856,                0.74962,                0.89401,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8019,                0.66661,                0.86712,                0.68545,                0.70921,                0.71514,                0.27219,                 1.8537,                0.73677,                0.89903,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7667,                0.66503,                0.87024,                0.75087,                0.73377,                0.76605,                0.30379,                  1.927,                0.76857,                0.92238,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.8086,                0.67644,                0.87304,                0.75594,                0.71555,                0.76554,                0.30568,                 1.8523,                0.72844,                0.89959,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.8051,                0.67489,                0.87249,                0.80739,                0.83058,                0.85387,                0.37709,                 1.9015,                0.73502,                0.93676,                0.00101,                0.00101,                0.00101
                     53,                 1.7802,                0.66338,                0.86894,                 0.7536,                0.76897,                0.79981,                0.32052,                 1.9539,                0.74469,                0.92687,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.8224,                0.68036,                0.87276,                0.67647,                0.67113,                0.67762,                0.24285,                 1.8936,                0.75647,                0.90298,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.7574,                0.65216,                0.86622,                0.75348,                0.74573,                 0.7724,                0.30182,                 1.8254,                0.75557,                0.90002,              0.0009506,              0.0009506,              0.0009506
